,Age,Gender,City,yearsExperience,SeniorityLevel,salary,MainLanguage,CompanySize,CompanyType
50,33,M,Berlin,10,Senior,70000,English,10-50,Startup
51,29,M,,7,Middle,50000,English,up to 10,Product
52,28,M,München,7,Middle,65000,Deutsch,50-100,Agency
53,32,M,München,10,Senior,78000,English,10-50,Startup
54,26,F,Regensburg,1,Junior,60000,Deutsch,1000+,Product
55,34,M,Hamburg,10,Senior,71000,English,50-100,Startup
56,29,M,München,9,Senior,75000,Deutsch,100-1000,Product
57,27,F,Frankfurt,1,Junior,49000,English,1000+,Consultancy
58,28,M,Hamburg,4,Senior,65000,English,100-1000,Product
59,34,M,München,10,Senior,68000,English,10-50,Product
60,35,M,München,10,Senior,56000,English,50-100,Product
61,32,F,Berlin,3,Junior,30000,English,50-100,Product
62,32,M,München,11,Senior,72000,English,up to 10,Product
64,29,M,Frankfurt,5,Middle,45000,English,up to 10,Agency
65,36,F,München,4,Middle,55000,English,1000+,Product
66,29,M,Lisbon,6,Middle,40000,English,1000+,Product
67,25,M,Frankfurt,5,Middle,66000,English,100-1000,Agency
70,25,M,München,3,Senior,60000,Russian,10-50,Startup
71,32,M,Berlin,6,Middle,50000,English,10-50,Product
72,29,M,Berlin,7,Senior,60000,English,1000+,Product
74,26,M,München,4,Middle,66000,English,1000+,Agency
75,33,M,Frankfurt,10,Senior,95000,Deutsch,1000+,Product
76,28,M,München,8,Middle,61000,English,100-1000,Product
77,31,M,Berlin,1,Middle,65000,English,100-1000,Startup
78,29,M,Berlin,5,Middle,55000,English,10-50,Startup
79,29,M,München,8,Senior,72000,Russian,100-1000,Product
80,33,M,Berlin,0,Middle,90000,English,1000+,Product
81,31,M,Berlin,12,Senior,60000,English,50-100,Startup
83,27,M,Berlin,10,Senior,87000,English,100-1000,Product
84,30,M,Berlin,6,Senior,70000,English,100-1000,Product
86,34,F,Berlin,5,Middle,55000,English,100-1000,Startup
88,44,M,München,14,Senior,73000,Russian,50-100,
89,37,M,Berlin,15,Senior,85000,English,up to 10,Startup
92,33,M,Berlin,0,Senior,58000,English,100-1000,Startup
93,36,M,Berlin,14,Senior,82000,English,100-1000,Product
94,34,M,Berlin,10,Senior,67000,English,100-1000,Product
95,31,M,Berlin,12,Senior,65000,English,100-1000,Product
96,25,M,München,3,Middle,62000,English,100-1000,Outsource
97,28,M,Berlin,6,Senior,62000,English,50-100,Startup
98,38,M,Berlin,19,Senior,83000,English,100-1000,Product
99,32,F,Berlin,10,Senior,75000,English,1000+,Product
100,22,M,Berlin,2,Middle,50000,English,50-100,Startup
101,37,M,München,8,Senior,100000,English,50-100,Agency
102,32,M,Berlin,10,Middle,75000,English,1000+,Product
103,40,M,Berlin,18,Senior,69000,English,50-100,Agency
104,24,M,Berlin,3,Middle,50000,English,100-1000,Product
105,36,M,Berlin,10,Middle,73000,English,50-100,Startup
107,28,M,Frankfurt,5,Senior,50000,English,10-50,Product
108,32,M,München,3,Middle,58000,Deutsch,1000+,
109,33,M,,11,Senior,65000,Deutsch,50-100,Product
110,36,F,München,3,Middle,30000,English,10-50,Product
111,32,M,Berlin,0,Senior,80000,English,up to 10,Startup
112,32,M,Berlin,10,Senior,70000,English,50-100,Startup
113,32,M,München,4,Senior,65000,English,50-100,Product
114,31,M,Berlin,12,Senior,78600,English,100-1000,Product
115,34,M,Berlin,13,Senior,70000,English,10-50,Product
117,32,M,Berlin,6,Senior,78000,English,100-1000,Startup
118,34,M,Berlin,17,Senior,70000,English,50-100,Startup
119,32,M,Luxembourg,8,Middle,89000,English,1000+,Product
120,27,F,München,0,Junior,60000,English,50-100,Product
121,31,F,München,5,Middle,60000,English,50-100,Product
122,32,M,Berlin,9,Senior,72000,English,1000+,Product
124,27,M,Berlin,7,Senior,72000,English,1000+,Product
125,30,M,Berlin,7,Senior,65000,English,1000+,Startup
126,34,M,Berlin,5,Senior,85000,English,1000+,Agency
127,30,M,Berlin,8,Senior,55000,English,50-100,Product
128,24,M,Berlin,4,Middle,65000,English,100-1000,Startup
129,28,F,Berlin,4,Middle,56000,English,1000+,Product
130,39,M,Bern,10,Senior,107000,Deutsch,100-1000,Product
131,29,M,Berlin,3,Middle,60000,English,100-1000,Product
132,34,M,München,7,Senior,70000,English,100-1000,Startup
133,30,M,Berlin,6,Middle,60000,English,100-1000,Product
134,35,M,Berlin,15,Senior,62000,English,100-1000,Product
135,37,M,Berlin,14,Senior,78000,English,10-50,Startup
136,25,M,Frankfurt,0,Junior,60000,English,1000+,Industry
137,37,M,Berlin,15,Senior,54000,English,10-50,Product
138,27,F,Berlin,4,Middle,46000,Deutsch,100-1000,eCommerce
139,30,M,Bonn,7,Middle,64000,English,1000+,Product
140,33,M,Berlin,10,Senior,65000,English,10-50,Product
141,32,M,Berlin,5,Middle,58000,English,10-50,Startup
143,30,M,Frankfurt,8,Senior,95000,English,100-1000,Product
144,27,F,Berlin,5,Middle,60000,English,100-1000,Product
145,28,M,München,6,Middle,53000,English,100-1000,Product
146,30,M,Berlin,3,Middle,69000,English,1000+,Product
147,39,M,Berlin,20,Senior,84000,English,1000+,Product
148,26,M,Berlin,5,Senior,52000,English,10-50,Startup
150,30,M,Berlin,7,Senior,75000,English,50-100,
152,39,M,Berlin,17,Senior,87000,English,1000+,Product
153,35,F,Berlin,14,Senior,65000,English,10-50,Startup
154,30,F,Berlin,3,Middle,50400,English,10-50,Startup
155,26,M,Berlin,6,Senior,65000,English,100-1000,Product
157,27,M,Berlin,2,Senior,66000,English,100-1000,Startup
158,43,F,München,0,Junior,32000,Deutsch,10-50,Product
159,42,M,München,15,Middle,42000,Deutsch,10-50,Product
160,31,M,Berlin,11,Senior,65000,English,100-1000,Product
161,34,M,Berlin,8,Middle,74000,English,1000+,Startup
163,30,M,München,8,Senior,72500,English,100-1000,Product
164,37,M,Berlin,7,Senior,53000,Deutsch,100-1000,Product
166,27,M,Hamburg,11,Senior,60000,English,100-1000,Product
167,30,M,Berlin,10,Senior,75000,English,1000+,Product
168,33,M,Berlin,15,Senior,85000,English,1000+,
169,38,M,Köln,12,Senior,60000,Deutsch,10-50,Consulting
170,35,M,Berlin,9,Senior,60000,English,up to 10,Startup
171,36,M,Berlin,15,Senior,85000,Deutsch,10-50,Product
172,25,M,Berlin,5,Middle,50000,English,10-50,Startup
173,32,M,Berlin,5,,60000,English,100-1000,Product
174,35,M,Köln,5,Middle,35000,English,1000+,Product
175,29,M,München,8,Senior,75000,English,50-100,Agency
176,30,F,Berlin,4,Middle,58000,English,10-50,Product
177,33,M,Berlin,12,Senior,75000,English,1000+,Internal development for a non-IT company
178,30,M,Baden-Württemberg ,8,Senior,70000,English,10-50,Startup
179,30,M,Berlin,11,Senior,65000,English,50-100,Startup
180,31,F,Berlin,8,Senior,55800,Deutsch,1000+,Product
181,26,M,Berlin,4,Middle,55000,English,1000+,Product
182,27,M,Berlin,5,Middle,55000,English,1000+,Product
183,34,M,Berlin,7,Senior,70000,Deutsch,100-1000,Product
184,35,M,Berlin,12,Senior,63000,English,100-1000,Product
186,28,M,München,2,Middle,52000,Deutsch,100-1000,Agency
188,35,M,München,14,Senior,70000,English,up to 10,Startup
189,31,F,Frankonia,7,Senior,44000,English,100-1000,Product
190,26,M,Berlin,2,Middle,50000,English,up to 10,Startup
191,26,M,München,4,Middle,58000,English,100-1000,Agency
193,42,M,Stuttgart ,3,Senior,60000,Deutsch,1000+,Personaldienstleister
194,27,M,Berlin,3,Senior,64000,English,100-1000,Startup
195,38,M,Berlin,5,Senior,80000,English,10-50,Product
196,24,M,München,2,Middle,58000,English,10-50,Startup
197,32,M,Berlin,8,Senior,95000,English,50-100,Product
198,28,F,Berlin,6,Middle,50000,English,100-1000,Startup
199,31,M,München,13,Senior,90000,English,100-1000,Product
200,31,M,Stuttgart,12,Senior,75000,English,100-1000,Product
201,31,M,Mannheim ,4,Senior,46000,Deutsch,50-100,Startup
202,30,M,Köln,5,Middle,80000,English,1000+,Product
203,36,M,München,5,Senior,92000,English,50-100,Agency
204,24,M,München,4,Middle,60000,English,100-1000,Agency
205,33,M,Karlsruhe,13,Senior,90000,Deutsch,up to 10,
206,34,F,München,6,Middle,63000,Deutsch,10-50,Product
207,29,M,München,8,Senior,75000,English,50-100,Product
209,22,M,München,1,Junior,70000,English,1000+,Product
210,42,M,Stuttgart,20,Senior,74000,English,50-100,Startup
211,29,M,Berlin,5,Middle,65000,English,50-100,Product
213,35,M,Berlin,10,Senior,68000,English,100-1000,Product
214,36,M,Berlin,13,Senior,80000,English,100-1000,Startup
215,29,M,München,7,Senior,40000,Deutsch,50-100,Product
216,28,M,Stuttgart ,5,Middle,60000,English,100-1000,Agency
217,32,M,Berlin,13,Senior,65000,English,10-50,Startup
218,38,M,Berlin,15,Senior,92000,English,1000+,Product
219,31,M,Berlin,8,Senior,75000,English,100-1000,Startup
221,38,F,München,16,Middle,58000,Deutsch,100-1000,Product
222,30,M,Berlin,6,Senior,76000,English,1000+,eCommerce
224,27,M,München,6,Senior,65000,English,10-50,Startup
225,27,M,München,6,Senior,75000,English,1000+,Product
226,36,M,Berlin,12,Senior,80000,English,1000+,Product
227,32,M,München,9,Senior,80000,English,1000+,Outsource
228,36,M,Berlin,10,,83000,English,1000+,Product
230,32,M,Berlin,5,Senior,87000,English,10-50,Startup
232,26,M,München,3,Middle,58000,Russian,50-100,Product
233,39,M,München,15,Senior,68000,English,100-1000,Startup
234,25,M,Berlin,3,Middle,48500,English,10-50,Product
236,31,M,Berlin,0,Junior,49000,English,1000+,Product
237,52,M,,7,Middle,34000,Deutsch,up to 10,
238,26,M,München,5,Middle,68000,English,100-1000,Product
239,28,M,Berlin,7,Senior,75000,English,50-100,Startup
240,31,M,Berlin,10,Senior,95000,English,1000+,Startup
241,26,M,München,7,Middle,70500,English,1000+,Product
242,32,M,Berlin,12,Senior,65000,English,100-1000,Product
243,50,F,Bayern,20,Senior,96000,Deutsch,100-1000,Product
244,22,M,Berlin,5,Middle,65000,English,1000+,Product
245,34,M,München,11,Senior,83000,Russian,100-1000,Product
247,33,F,Berlin,4,Middle,45000,English,up to 10,Startup
250,38,M,Berlin,5,Senior,85000,English,1000+,Product
252,37,M,Tübingen,15,Senior,65000,English,50-100,Product
253,34,M,Berlin,10,Senior,86000,English,100-1000,Product
254,28,M,Berlin,3,Middle,68000,English,10-50,Product
255,31,M,Berlin,11,Senior,61000,English,100-1000,Product
256,25,M,Berlin,5,Senior,60000,English,10-50,Product
257,25,M,Berlin,4,Middle,48000,English,10-50,Agency
258,29,M,Berlin,10,Senior,75000,English,100-1000,Startup
259,28,M,München,5,Middle,65000,Russian,1000+,Product
261,38,M,Stuttgart,18,Senior,84000,Russian,up to 10,Agency
262,26,M,München,4,Middle,54000,English,50-100,Product
263,25,F,Berlin,1,Junior,40000,Deutsch,10-50,Product
264,43,M,München,10,Senior,61000,English,100-1000,Product
265,35,M,München,15,Senior,85000,Deutsch,100-1000,Product
266,31,M,Köln,2,,35000,Deutsch,10-50,Agency
267,27,M,München,6,Senior,68000,English,100-1000,Startup
268,33,M,München,12,Senior,75000,English,10-50,Startup
270,40,M,Köln,15,Senior,70000,English,100-1000,Product
271,32,M,Berlin,5,Senior,55000,English,10-50,Product
274,32,M,Berlin,8,Senior,60000,English,1000+,Product
275,31,F,Berlin,10,Senior,44000,English,100-1000,Startup
276,36,M,München,10,Senior,95000,Deutsch,1000+,Product
279,31,F,Berlin,8,Middle,46000,English,100-1000,Product
280,30,M,Berlin,9,Senior,90000,English,up to 10,Agency
281,33,M,München,11,Senior,92000,English,50-100,
282,33,M,Berlin,16,Senior,95000,English,10-50,Product
283,38,M,München,5,Senior,70000,English,10-50,Startup
285,28,M,Berlin,7,Senior,70000,English,100-1000,Startup
286,37,M,Brno,17,Middle,35000,English,100-1000,Product
287,26,M,Berlin,7,Senior,60000,English,100-1000,Product
288,31,M,München,9,Senior,90000,English,1000+,Product
289,31,M,München,9,Senior,90000,English,1000+,Product
290,37,M,Berlin,17,Senior,80000,English,50-100,Startup
292,33,M,München,13,Senior,72000,Russian,10-50,Startup
293,38,M,Berlin,5,Senior,55000,Deutsch,100-1000,Agency
294,30,M,Berlin,2,Middle,52000,English,50-100,Product and Projects
295,37,M,Dresden,10,Senior,53000,Deutsch,100-1000,Product
296,30,M,Berlin,8,Senior,72000,English,1000+,Product
297,31,M,,12,Senior,80000,English,1000+,
299,27,M,Berlin,5,Middle,63000,English,1000+,E-Commerce
300,30,M,Berlin,0,Senior,73300,English,1000+,Product
302,34,M,Berlin,12,Senior,73500,English,100-1000,Product
303,31,M,Berlin,10,Senior,83000,English,1000+,Product
304,33,M,Krakow,7,Senior,42000,English,100-1000,Outsource
305,39,F,München,5,Middle,56000,English,1000+,Product
307,30,M,Berlin,0,Senior,70000,English,100-1000,Startup
308,24,M,Berlin,5,Middle,45000,English,100-1000,Startup
310,29,F,Amsterdam,4,Middle,58000,English,10-50,Startup
311,30,M,Amsterdam,8,Senior,65000,English,1000+,
312,23,M,Eindhoven,5,Senior,47500,English,50-100,Product
313,33,M,München,12,Middle,70000,English,,Product
314,21,M,Amsterdam,4,Middle,90000,English,1000+,Product
316,33,M,Berlin,12,Senior,85000,English,1000+,Product
317,30,M,Amsterdam ,8,Senior,65000,English,1000+,Product
318,34,M,Berlin,5,Middle,62000,Deutsch,100-1000,
319,40,M,München,20,Senior,60000,Deutsch,10-50,Product
320,28,F,Luxembourg,8,Middle,66000,French,100-1000,Agency
321,32,M,Amsterdam,15,Senior,75000,English,100-1000,Product
322,37,M,Amsterdam,0,Middle,70000,English,1000+,Product
323,33,M,Berlin,10,Senior,65000,English,10-50,Product
324,33,M,Berlin,10,Senior,65000,English,10-50,Product
325,28,M,Amsterdam,6,Senior,70000,English,100-1000,Product
327,22,F,München,1,Middle,55000,English,10-50,Startup
328,30,M,Berlin,5,Senior,60000,English,50-100,Startup
329,25,M,München,5,Middle,56000,English,1000+,Product
330,33,M,Konstanz,10,Middle,65000,English,50-100,Product
331,25,M,Amsterdam,6,Middle,78000,English,1000+,Product
332,25,M,Amsterdam,4,Senior,60000,English,100-1000,
333,35,M,München,12,Senior,85000,English,100-1000,Product
334,34,F,,12,Senior,61000,English,1000+,Product
335,31,M,Amsterdam,10,Senior,68000,English,1000+,Product
336,28,M,Berlin,8,Senior,60000,English,10-50,Product
337,26,M,Hamburg,5,Senior,81000,English,100-1000,Startup
338,30,M,München,3,Middle,61000,English,50-100,Product
340,39,M,Berlin,6,Senior,52000,English,50-100,Product
341,30,M,Berlin,5,Senior,65000,English,100-1000,Startup
343,33,M,Stuttgart,8,Middle,68000,Deutsch,100-1000,Product
344,36,M,Dublin ,7,Senior,90000,English,50-100,Product
345,30,M,München,6,Middle,80000,English,1000+,Product
346,28,M,Amsterdam,10,Senior,80000,English,10-50,Startup
347,32,M,München,7,Senior,65000,English,100-1000,Product
348,30,M,Amsterdam,10,Senior,70000,Russian,50-100,Product
349,30,F,München,7,Senior,60000,English,10-50,Startup
350,32,M,München,10,Senior,60000,English,100-1000,Product
351,30,M,Berlin,4,Middle,55000,English,100-1000,Product
353,25,M,Karlsruhe,2,Middle,52000,Deutsch,10-50,Agency
354,43,M,Berlin,20,Senior,75000,Deutsch,1000+,Agency
355,32,M,Berlin,11,Senior,87000,English,1000+,Product
356,30,M,Berlin,8,Senior,66000,English,100-1000,Startup
359,31,M,Berlin,9,Senior,60000,English,1000+,Startup
360,34,M,Berlin,12,Senior,75000,English,100-1000,Startup
362,26,M,München,4,Senior,70000,Russian,50-100,Product
363,28,M,München,3,Middle,62000,Deutsch,1000+,Consulting Company
364,34,M,Berlin,8,Senior,53500,English,100-1000,Startup
365,24,M,Köln,4,Junior,87975,English,1000+,Product
366,31,M,Berlin,10,Senior,60000,English,100-1000,Product
368,31,M,Berlin,9,Senior,70000,English,1000+,Product
369,26,M,Berlin,6,Senior,60000,English,10-50,Startup
370,27,M,München,3,Middle,55000,English,1000+,Product
371,32,M,Prague,11,Senior,70000,English,1000+,Product
372,34,M,München,14,Senior,70000,Russian,10-50,Startup
373,33,M,Berlin,10,Senior,54000,English,50-100,Product
376,34,M,Berlin,10,Senior,76000,English,100-1000,Startup
377,35,M,Berlin,5,Middle,53000,English,100-1000,Startup
378,30,M,Moscow,10,Senior,31500,Russian,1000+,Agency
379,36,M,Stockholm,13,Senior,58000,English,50-100,Product
380,37,M,Berlin,6,Senior,52000,English,100-1000,Product
381,30,M,Berlin,9,Senior,75000,English,50-100,Startup
382,37,F,Berlin,10,Senior,68000,Deutsch,100-1000,IT Dienstleistungen 
383,28,M,München,7,Senior,60000,English,10-50,Product
384,29,M,Berlin,6,Senior,58000,English,100-1000,Product
385,37,M,München,15,Senior,110000,Deutsch,1000+,Agency
386,30,M,München,7,Senior,68000,English,100-1000,Product
387,30,M,München,9,Senior,70000,English,100-1000,Startup
388,30,M,Amsterdam ,10,Senior,70000,English,100-1000,Product
389,32,F,München,12,Middle,72000,English,100-1000,Product
390,34,M,Frankfurt,8,Middle,60000,English,100-1000,Agency
392,35,M,Kyiv,10,Senior,43000,Russian,10-50,Product
393,28,F,München,1,Junior,60000,Deutsch,1000+,Manufacturing
394,29,M,Berlin,7,Senior,70000,English,100-1000,Product
395,34,F,Berlin,4,Senior,48000,English,10-50,Startup
396,31,F,München,4,Middle,67000,English,1000+,Product
397,28,F,Berlin,1,Middle,36000,English,10-50,Startup
398,25,M,Berlin,3,Middle,75000,English,50-100,Product
399,30,M,Frankfurt,9,Middle,65000,English,100-1000,Stock market 
400,37,M,Berlin,6,Senior,63000,English,100-1000,Product
401,33,F,München,11,Senior,60000,English,100-1000,telecom operator
402,34,M,Amsterdam,10,Senior,57000,English,50-100,Product
403,30,M,Frankfurt,7,Senior,112000,Deutsch,100-1000,Product
404,27,M,Berlin,11,Senior,100000,English,1000+,Ecommerce
405,30,M,München,5,Senior,72000,English,up to 10,Startup
406,30,F,Berlin,11,Senior,78000,English,1000+,Startup
407,32,F,München,3,Junior,44000,Deutsch,100-1000,Product
408,31,M,Nürnberg,6,Middle,59000,Deutsch,1000+,Consulting
409,38,M,München,10,Senior,66000,Deutsch,100-1000,Product
411,36,M,Hamburg,10,Senior,65000,English,100-1000,Product
412,31,F,München,9,Middle,47000,English,10-50,Agency
413,33,M,Amsterdam,9,Middle,60000,English,100-1000,Product
414,36,M,,12,Senior,72000,English,1000+,
415,26,M,München,5,Senior,68400,Team - Russian; Cross-team - English;,1000+,Agency
416,37,M,Berlin,15,Senior,55000,Deutsch,100-1000,Product
417,31,M,München,12,Senior,60000,English,1000+,Product
418,29,M,München,9,Senior,70000,English,50-100,Startup
419,30,M,München,8,Senior,65000,English,1000+,Product
420,43,M,Berlin,18,Senior,70000,Deutsch,50-100,Product
421,30,M,München,10,Senior,80000,Russian,100-1000,Product
422,29,F,Berlin,1,Junior,47000,English,100-1000,Product
423,32,M,Berlin,12,Senior,66000,English,50-100,Startup
424,42,M,Karlskrona,15,Senior,67200,English,1000+,Product
426,36,M,Berlin,15,Senior,89000,English,10-50,Startup
427,31,M,Berlin,6,Senior,72000,English,1000+,Product
428,28,M,München,5,Senior,69000,English,1000+,Product
429,34,M,Berlin,15,Senior,60000,English,1000+,Product
430,36,M,Berlin,2,Middle,53000,English,50-100,Startup
431,43,M,Berlin,16,Senior,86000,Deutsch,50-100,Consulting
432,29,M,Krakau,11,Senior,45000,English,1000+,Outsourcing
433,27,M,München,5,Senior,72000,Russian,50-100,Startup
434,30,M,München,3,Middle,65000,Deutsch,1000+,Product
435,28,F,Vienna,6,Senior,75000,English,10-50,Product
436,22,M,München,3,Junior,47000,Deutsch,100-1000,Agency
437,25,M,Berlin,6,Senior,60000,English,100-1000,Product
438,28,M,München,6,Middle,50000,English,100-1000,Agency
439,36,M,Berlin,8,Senior,55000,English,10-50,Startup
440,35,M,London,12,Senior,111000,English,100-1000,Product
441,28,F,Stockholm,6,Middle,40800,English,100-1000,Product
442,48,M,Bitburg,18,Senior,92100,Deutsch,100-1000,Product
443,23,M,Nürnberg,5,Middle,73000,English,1000+,Product
444,24,M,Berlin,4,Middle,54000,English,10-50,Product
445,25,M,Gdansk,3,Senior,38000,English,1000+,Outsorce
446,30,M,Berlin,8,Senior,75000,English,1000+,Product
447,28,M,Berlin,8,Senior,66000,English,10-50,Product
448,31,M,Berlin,9,Senior,70000,English,50-100,Product
449,31,M,Stuttgart,10,Senior,60000,English,10-50,Product
450,27,M,Berlin,8,Senior,70000,English,100-1000,Product
452,30,M,München,9,Senior,75000,English,1000+,Product
455,23,M,München,2,Middle,52000,Deutsch,50-100,Agency
456,33,M,Prague,10,Senior,39600,English,1000+,Outsource
457,31,M,München,9,Middle,64400,English,100-1000,Product
458,33,M,Düsseldorf,12,Senior,57000,Russian,up to 10,Product
460,31,M,Luxembourg,6,Middle,77000,English,1000+,Product
462,34,M,Berlin,12,Senior,67000,English,100-1000,Startup
463,32,M,Berlin,5,Senior,55000,English,10-50,Product
464,31,M,Berlin,9,Senior,85000,English,1000+,Product
465,33,M,Stuttgart,8,Senior,57800,English,100-1000,Product
467,30,M,Krakow,7,Senior,44000,Russian,1000+,Outsource
468,33,F,London,10,Senior,70000,English,100-1000,Agency
471,26,F,München,4,Middle,47300,English,50-100,Product
472,45,M,Berlin,8,Middle,53000,Deutsch,1000+,Agency
474,36,M,Ludwigsburg,10,Senior,100000,Deutsch,1000+,GmbH
475,35,M,München,11,Senior,100000,Deutsch,100-1000,Product
476,38,M,München,15,Senior,60000,English,up to 10,Product
477,45,F,München,0,Middle,90000,English,1000+,Product
478,38,M,Berlin,15,Senior,60000,English,1000+,Startup
479,35,M,Berlin,13,Senior,60000,English,up to 10,Startup
480,32,M,München,10,,75000,English,1000+,Product
481,35,M,München,11,Middle,60000,English,10-50,Startup
482,30,M,Hamburg,5,Middle,56000,English,100-1000,Product
483,32,M,Berlin,7,Senior,55000,English,50-100,Startup
484,45,M,Essen,20,Senior,80000,English,1000+,Corporation
486,37,M,Berlin,15,Senior,86000,English,10-50,Product
489,32,M,München,10,Senior,69000,English,100-1000,Product
490,32,M,München,10,Senior,69000,English,100-1000,Product
491,38,M,Berlin,5,Senior,60000,English,up to 10,Product
493,37,M,,2,Middle,30000,English,10-50,Product
494,27,M,München,7,Senior,75000,English,100-1000,Product
495,35,M,München,13,Senior,63000,English,1000+,Product
496,28,M,Memmingen,8,Senior,92000,English,10-50,IT Consulting 
497,33,M,Berlin,5,Middle,51750,Deutsch,10-50,Startup
498,34,F,München,0,Middle,62000,English,1000+,Product
499,36,M,Amsterdam,13,Senior,80000,English,100-1000,Product
500,30,F,München,5,Middle,58000,English,1000+,Product
501,31,M,Berlin,12,Junior,108000,English,100-1000,Product
502,37,M,München,15,Middle,72000,English,1000+,Product
503,33,M,Tallinn,10,Senior,38400,English,1000+,Product
504,31,M,Berlin,8,Senior,65000,English,10-50,Startup
505,30,M,Berlin,8,Senior,70000,English,1000+,Product
506,31,F,München,6,Middle,51000,English,50-100,Product
507,24,F,München,4,Middle,57000,English,10-50,Agency
508,36,M,Berlin,15,Senior,75000,English,100-1000,Product
509,40,M,München,12,Senior,69600,English,100-1000,Product
510,33,M,Köln,10,Senior,85000,Deutsch,100-1000,Product
511,34,M,München,10,Senior,68000,English,100-1000,Product
512,31,M,München,9,Senior,65000,English,1000+,Product
513,37,M,Stuttgart,6,Senior,58500,Deutsch,100-1000,Product
515,32,M,Frankfurt,10,Senior,80000,English,1000+,Agency
516,30,M,Berlin,12,Senior,65000,English,50-100,Startup
517,42,M,Berlin,15,Senior,68000,English,50-100,Product
518,32,M,Dublin,10,Senior,96000,English,100-1000,Product
520,35,M,Hamburg,15,Senior,60000,Deutsch,10-50,Startup
522,27,F,München,6,Middle,70000,English,100-1000,Product
523,30,M,,9,Middle,44000,English,100-1000,Product
524,27,M,Hamburg,5,Middle,58500,,100-1000,Agency
525,30,F,Berlin,9,Middle,55000,English,100-1000,Startup
526,30,M,München,6,Senior,70000,English,50-100,Startup
527,28,M,München,7,Middle,60000,English,50-100,Startup
528,33,M,oslo,0,Senior,80000,English,up to 10,Startup
529,25,M,Münster,4,Middle,42000,English,1000+,Product
530,35,M,Krakow,7,Senior,47000,English,100-1000,Product
531,31,M,München,7,Senior,68000,English,100-1000,Product
532,33,M,München,4,Middle,65000,Deutsch,1000+,IT Consultancy 
534,32,M,,11,Senior,65000,English,50-100,Agency
536,33,M,Berlin,12,Senior,87000,English,1000+,Product
537,32,M,München,12,Senior,85000,English,100-1000,Product
538,35,F,München,3,Junior,39000,English,100-1000,Product
539,40,F,Frankfurt,4,Middle,65000,Deutsch,100-1000,
540,28,M,Berlin,6,Senior,65000,English,10-50,Startup
541,35,M,München,13,Senior,65000,Deutsch,1000+,Product
542,34,M,Berlin,15,Senior,69000,English,100-1000,Product
543,31,M,Berlin,8,Senior,77000,English,100-1000,Product
544,32,M,Berlin,7,Senior,73000,Deutsch,100-1000,Product
545,32,M,Berlin,10,Senior,65000,English,100-1000,Product
546,30,M,München,5,Senior,60000,English,1000+,Product
